date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2022-06-13,7545.69482421875,EXPANSION,1.0,low,0.252,EXPANDING_RANGE_VOLATILE,95.69,0.0,0.527,0.228,3.78,0.79,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-06-16,7480.7578125,EXPANSION,1.0,low,0.064,EXPANDING_RANGE_VOLATILE,74.92,0.0,0.025,0.167,2.66,0.69,FALLING,EXPANSION,low,0.0,,,0.0,0.0,
2022-06-21,7430.14501953125,EXPANSION,0.67,low,-0.598,LOWER_HIGHS_LOWER_LOWS,9.37,-1.0,-0.906,0.113,1.77,0.5,FALLING,CONTRACTION,low,0.0,,,0.0,0.0,
2022-06-24,7986.50390625,EXPANSION,1.0,low,0.259,CONTRACTING_RANGE,51.23,0.0,0.288,0.489,9.11,0.67,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-06-29,8125.64111328125,EXPANSION,1.0,low,0.496,CONTRACTING_RANGE,89.88,0.0,0.899,0.589,10.65,1.12,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2022-07-04,8063.04248046875,EXPANSION,1.0,low,0.508,CONTRACTING_RANGE,98.74,0.0,0.987,0.538,9.46,1.29,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-07-07,8218.7490234375,EXPANSION,1.0,low,0.411,CONTRACTING_RANGE,99.84,0.0,0.596,0.636,11.23,1.5,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-07-12,8040.4580078125,EXPANSION,1.0,low,0.216,CONTRACTING_RANGE,87.49,0.0,0.137,0.511,8.48,1.74,FALLING,EXPANSION,low,0.0,,,0.0,0.0,
2022-07-15,8382.6669921875,EXPANSION,0.67,low,0.123,CONTRACTING_RANGE,61.24,0.0,-0.388,0.758,12.76,2.39,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.0,
2022-07-20,8354.974609375,EXPANSION,1.0,low,0.557,CONTRACTING_RANGE,90.97,0.0,0.91,0.761,12.1,3.12,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-07-25,8233.263671875,EXPANSION,0.67,high,0.398,HIGHER_HIGHS_HIGHER_LOWS,48.7,1.0,-0.513,0.707,10.14,4.0,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2022-07-28,8328.2353515625,EXPANSION,0.67,high,0.283,HIGHER_HIGHS_HIGHER_LOWS,6.09,1.0,-0.939,0.788,11.14,4.62,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2022-08-02,8759.8759765625,EXPANSION,1.0,low,0.696,HIGHER_HIGHS_HIGHER_LOWS,35.82,1.0,0.088,1.0,16.6,5.28,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-08-05,8498.5615234375,EXPANSION,1.0,low,0.931,HIGHER_HIGHS_HIGHER_LOWS,85.93,1.0,0.859,0.935,12.83,5.87,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-08-11,8472.271484375,EXPANSION,1.0,low,0.924,HIGHER_HIGHS_HIGHER_LOWS,84.84,1.0,0.848,0.924,12.18,6.31,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-08-17,8597.712890625,EXPANSION,0.67,high,0.383,HIGHER_HIGHS_HIGHER_LOWS,14.93,1.0,-0.851,1.0,13.49,6.86,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2022-08-22,8293.6240234375,EXPANSION,0.33,high,-0.052,CONTRACTING_RANGE,1.87,0.0,-0.981,0.825,9.19,7.32,FALLING,DISTRIBUTION,high,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-08-25,8397.341796875,EXPANSION,0.67,medium,0.088,CONTRACTING_RANGE,0.23,0.0,-0.642,0.906,10.35,7.78,FALLING,DISTRIBUTION,medium,0.667,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2022-08-30,8730.26953125,EXPANSION,0.67,low,-0.086,LOWER_HIGHS_LOWER_LOWS,8.66,-1.0,-0.259,1.0,14.43,8.37,RISING,DISTRIBUTION,low,0.333,"BEARISH_ENGULFING,BULLISH_ENGULFING,DOJI",GARTLEY,0.8,0.0,
2022-09-05,8603.1923828125,EXPANSION,0.67,low,0.28,LOWER_HIGHS_LOWER_LOWS,84.02,-1.0,0.84,1.0,12.44,9.02,RISING,EXPANSION,low,-0.6,"BEARISH_ENGULFING,BULLISH_ENGULFING",GARTLEY,0.8,0.0,
2022-09-08,8449.970703125,EXPANSION,0.67,low,0.253,EXPANDING_RANGE_VOLATILE,33.49,0.0,-0.217,0.977,10.28,9.26,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-09-13,8580.5556640625,EXPANSION,0.67,high,0.019,EXPANDING_RANGE_VOLATILE,5.8,0.0,-0.942,1.0,11.74,9.39,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2022-09-16,8833.5068359375,EXPANSION,1.0,low,0.919,HIGHER_HIGHS_HIGHER_LOWS,75.73,1.0,0.757,1.0,14.63,9.59,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2022-09-21,8889.5009765625,EXPANSION,1.0,low,0.99,HIGHER_HIGHS_HIGHER_LOWS,96.97,1.0,0.97,1.0,14.9,9.73,RISING,EXPANSION,low,0.2,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2022-09-26,8492.5537109375,EXPANSION,1.0,low,0.815,HIGHER_HIGHS_HIGHER_LOWS,91.34,1.0,0.483,0.962,9.35,9.89,RISING,EXPANSION,low,1.0,BULLISH_ENGULFING,,0.0,0.0,
2022-09-29,8290.595703125,EXPANSION,0.67,high,0.344,HIGHER_HIGHS_HIGHER_LOWS,22.49,1.0,-0.775,0.808,6.48,9.68,FALLING,DISTRIBUTION,high,-0.111,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2022-10-04,8353.701171875,EXPANSION,0.67,high,0.284,HIGHER_HIGHS_HIGHER_LOWS,2.81,1.0,-0.972,0.824,7.05,9.43,FALLING,DISTRIBUTION,high,0.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2022-10-10,8518.9404296875,EXPANSION,0.67,medium,0.064,EXPANDING_RANGE_VOLATILE,0.35,0.0,-0.714,0.907,8.87,9.26,FALLING,DISTRIBUTION,medium,0.333,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2022-10-13,8314.3388671875,EXPANSION,0.67,medium,0.074,EXPANDING_RANGE_VOLATILE,0.04,0.0,-0.527,0.75,6.0,9.0,FALLING,DISTRIBUTION,medium,1.0,DOJI,,0.0,0.0,
2022-10-18,8466.0224609375,DISTRIBUTION,0.67,medium,0.101,EXPANDING_RANGE_VOLATILE,0.01,0.0,-0.503,0.807,7.64,8.49,FALLING,DISTRIBUTION,medium,1.0,DOJI,,0.0,0.0,
2022-10-21,8366.0048828125,DISTRIBUTION,0.67,low,0.069,EXPANDING_RANGE_VOLATILE,0.0,0.0,-0.5,0.708,6.09,8.07,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-10-27,8691.53125,DISTRIBUTION,1.0,low,0.548,EXPANDING_RANGE_VOLATILE,75.0,0.0,0.75,0.893,9.95,7.91,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2022-11-01,9088.1884765625,DISTRIBUTION,1.0,low,0.656,EXPANDING_RANGE_VOLATILE,96.88,0.0,0.969,1.0,14.64,7.98,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2022-11-04,8871.8125,DISTRIBUTION,1.0,low,0.576,EXPANDING_RANGE_VOLATILE,99.61,0.0,0.738,0.991,11.68,8.13,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2022-11-10,8744.6875,DISTRIBUTION,1.0,low,0.463,EXPANDING_RANGE_VOLATILE,98.44,0.0,0.484,0.905,9.84,8.27,FALLING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-11-15,8807.1220703125,DISTRIBUTION,0.67,medium,0.06,EXPANDING_RANGE_VOLATILE,25.32,0.0,-0.747,0.928,10.4,8.16,FALLING,DISTRIBUTION,medium,0.6,"BEARISH_ENGULFING,HAMMER",,0.0,0.0,
2022-11-18,8505.1455078125,DISTRIBUTION,0.33,medium,-0.079,EXPANDING_RANGE_VOLATILE,3.16,0.0,-0.968,0.731,6.51,8.11,FALLING,DISTRIBUTION,medium,1.0,HAMMER,,0.0,0.0,
2022-11-23,8588.24609375,DISTRIBUTION,0.67,medium,0.012,EXPANDING_RANGE_VOLATILE,0.4,0.0,-0.741,0.777,7.48,8.07,FALLING,DISTRIBUTION,medium,1.0,DOJI,,0.0,0.0,
2022-11-28,8637.173828125,DISTRIBUTION,0.67,medium,0.09,EXPANDING_RANGE_VOLATILE,0.05,0.0,-0.53,0.8,7.99,8.01,FALLING,DISTRIBUTION,medium,0.091,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2022-12-01,8610.9794921875,DISTRIBUTION,0.67,low,0.088,EXPANDING_RANGE_VOLATILE,0.01,0.0,-0.504,0.768,7.6,7.75,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-12-06,8379.5107421875,DISTRIBUTION,0.67,low,0.033,EXPANDING_RANGE_VOLATILE,0.0,0.0,-0.5,0.6,4.68,7.32,FALLING,DISTRIBUTION,low,-1.0,DOJI,,0.0,0.0,
2022-12-09,8279.5400390625,DISTRIBUTION,0.67,low,0.008,EXPANDING_RANGE_VOLATILE,0.0,0.0,-0.5,0.523,3.4,7.05,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2022-12-14,8306.6962890625,DISTRIBUTION,0.67,low,0.012,EXPANDING_RANGE_VOLATILE,0.0,0.0,-0.5,0.535,3.73,6.97,FALLING,DISTRIBUTION,low,-1.0,BEARISH_ENGULFING,,0.0,0.6,45
2022-12-19,8270.408203125,DISTRIBUTION,0.67,low,0.002,EXPANDING_RANGE_VOLATILE,0.0,0.0,-0.5,0.505,3.24,6.87,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.6,49
2022-12-22,8011.353515625,DISTRIBUTION,0.33,low,-0.06,EXPANDING_RANGE_VOLATILE,0.0,0.0,-0.5,0.32,-0.1,6.5,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.6,49
2022-12-27,7983.57470703125,DISTRIBUTION,0.33,low,-0.079,EXPANDING_RANGE_VOLATILE,0.0,0.0,-0.5,0.263,-0.68,5.95,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2022-12-30,8069.26904296875,DISTRIBUTION,1.0,low,0.26,EXPANDING_RANGE_VOLATILE,50.0,0.0,0.5,0.28,0.14,5.45,RISING,EXPANSION,low,1.0,DOJI,,0.0,0.0,
2023-01-04,8096.3759765625,DISTRIBUTION,1.0,low,0.297,EXPANDING_RANGE_VOLATILE,62.5,0.0,0.625,0.266,0.29,5.02,RISING,EXPANSION,low,1.0,DOJI,,0.0,0.0,
2023-01-09,8052.35205078125,DISTRIBUTION,1.0,low,0.384,EXPANDING_RANGE_VOLATILE,95.31,0.0,0.953,0.198,-0.38,4.34,RISING,EXPANSION,low,1.0,DOJI,,0.0,0.0,
2023-01-12,8044.85400390625,DISTRIBUTION,1.0,low,0.098,EXPANDING_RANGE_VOLATILE,76.03,0.0,0.156,0.139,-0.62,3.41,FALLING,EXPANSION,low,0.0,,,0.0,0.0,
2023-01-17,8150.73388671875,EXPANSION,1.0,low,0.229,EXPANDING_RANGE_VOLATILE,97.0,0.0,0.531,0.157,0.51,2.64,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2023-01-20,8112.7177734375,EXPANSION,1.0,low,0.274,EXPANDING_RANGE_VOLATILE,99.63,0.0,0.728,0.095,-0.11,2.01,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2023-01-25,8443.6748046875,EXPANSION,1.0,low,0.264,EXPANDING_RANGE_VOLATILE,99.95,0.0,0.529,0.263,3.79,1.47,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2023-01-31,8550.564453125,EXPANSION,1.0,low,0.269,EXPANDING_RANGE_VOLATILE,99.99,0.0,0.504,0.302,4.86,1.18,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2023-02-03,8595.7421875,EXPANSION,1.0,low,0.267,EXPANDING_RANGE_VOLATILE,100.0,0.0,0.5,0.301,5.15,0.88,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2023-02-08,8492.3134765625,EXPANSION,1.0,low,0.238,EXPANDING_RANGE_VOLATILE,100.0,0.0,0.5,0.214,3.69,0.59,RISING,EXPANSION,low,-1.0,DOJI,,0.0,-0.6,45
2023-02-13,8468.0419921875,EXPANSION,1.0,low,0.226,EXPANDING_RANGE_VOLATILE,100.0,0.0,0.5,0.178,3.21,0.34,RISING,EXPANSION,low,1.0,BULLISH_ENGULFING,,0.0,-0.6,49
2023-02-16,8463.8603515625,EXPANSION,1.0,low,0.219,EXPANDING_RANGE_VOLATILE,100.0,0.0,0.5,0.158,2.96,0.2,RISING,EXPANSION,low,0.25,"BEARISH_ENGULFING,BULLISH_ENGULFING",,0.0,-0.6,49
2023-02-21,8333.8515625,EXPANSION,0.67,low,-0.564,LOWER_HIGHS_LOWER_LOWS,25.0,-1.0,-0.75,0.057,1.13,0.01,FALLING,CONTRACTION,low,-0.6,"BEARISH_ENGULFING,BULLISH_ENGULFING",,0.0,0.0,
2023-02-24,8324.865234375,EXPANSION,0.67,low,-0.646,LOWER_HIGHS_LOWER_LOWS,3.12,-1.0,-0.969,0.031,0.79,-0.18,FALLING,CONTRACTION,low,-0.2,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2023-03-01,8424.498046875,EXPANSION,0.67,low,-0.546,LOWER_HIGHS_LOWER_LOWS,1.4,-1.0,-0.708,0.069,1.73,-0.35,FALLING,CONTRACTION,low,0.2,"BEARISH_ENGULFING,BULLISH_ENGULFING,DOJI",,0.0,0.0,
2023-03-06,8296.9404296875,EXPANSION,1.0,low,-0.514,LOWER_HIGHS_LOWER_LOWS,0.17,-1.0,-0.526,-0.017,-0.01,-0.33,FALLING,CONTRACTION,low,-0.333,"BEARISH_ENGULFING,BULLISH_ENGULFING",,0.0,0.0,
