date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2021-06-24,588.3920288085938,EXPANSION,0.67,high,0.407,HIGHER_HIGHS_HIGHER_LOWS,22.13,1.0,-0.779,1.0,25.35,14.95,FALLING,DISTRIBUTION,high,1.0,BULLISH_ENGULFING,,0.0,0.0,
2021-06-29,589.2486572265625,EXPANSION,0.67,high,0.343,HIGHER_HIGHS_HIGHER_LOWS,2.77,1.0,-0.972,1.0,24.56,15.77,FALLING,DISTRIBUTION,high,0.111,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2021-07-02,583.9281005859375,EXPANSION,0.67,medium,0.096,CONTRACTING_RANGE,0.35,0.0,-0.711,1.0,22.49,16.59,FALLING,DISTRIBUTION,medium,0.75,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2021-07-07,603.4823608398438,EXPANSION,0.67,low,0.228,CONTRACTING_RANGE,7.01,0.0,-0.317,1.0,25.56,17.35,RISING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2021-07-12,599.6744384765625,DISTRIBUTION,0.67,medium,0.628,HIGHER_HIGHS_HIGHER_LOWS,12.93,1.0,-0.116,1.0,23.75,17.28,RISING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2021-07-15,597.7387084960938,DISTRIBUTION,0.67,high,0.457,HIGHER_HIGHS_HIGHER_LOWS,2.3,1.0,-0.628,1.0,22.26,16.95,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2021-07-20,579.4205322265625,DISTRIBUTION,0.67,high,0.442,HIGHER_HIGHS_HIGHER_LOWS,0.29,1.0,-0.675,1.0,17.54,16.61,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2021-07-26,600.932373046875,DISTRIBUTION,0.67,medium,0.189,EXPANDING_RANGE_VOLATILE,3.0,0.0,-0.433,1.0,20.89,16.61,RISING,DISTRIBUTION,medium,-0.143,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2021-07-29,624.1068115234375,DISTRIBUTION,1.0,low,0.613,EXPANDING_RANGE_VOLATILE,83.78,0.0,0.838,1.0,24.48,16.46,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-08-03,617.456298828125,DISTRIBUTION,1.0,low,0.658,EXPANDING_RANGE_VOLATILE,97.53,0.0,0.975,1.0,22.1,16.22,RISING,EXPANSION,low,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2021-08-06,606.9636840820312,DISTRIBUTION,0.67,medium,0.598,HIGHER_HIGHS_HIGHER_LOWS,71.05,1.0,-0.206,1.0,18.99,15.9,FALLING,DISTRIBUTION,medium,-1.0,DOJI,,0.0,0.0,
2021-08-11,601.4541625976562,DISTRIBUTION,0.67,high,0.377,HIGHER_HIGHS_HIGHER_LOWS,13.19,1.0,-0.868,1.0,16.93,15.52,FALLING,DISTRIBUTION,high,1.0,DOJI,,0.0,0.0,
2021-08-16,621.868896484375,DISTRIBUTION,0.67,high,0.017,EXPANDING_RANGE_VOLATILE,5.02,0.0,-0.95,1.0,19.9,14.96,FALLING,DISTRIBUTION,high,0.273,"BEARISH_ENGULFING,BULLISH_ENGULFING,DOJI",,0.0,0.0,
2021-08-20,649.558349609375,DISTRIBUTION,1.0,low,0.554,EXPANDING_RANGE_VOLATILE,66.09,0.0,0.661,1.0,24.13,14.87,RISING,EXPANSION,low,0.333,"BEARISH_ENGULFING,BULLISH_ENGULFING",,0.0,0.0,
2021-08-25,677.2380981445312,DISTRIBUTION,1.0,low,0.653,EXPANDING_RANGE_VOLATILE,95.76,0.0,0.958,1.0,28.17,14.61,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-08-30,698.7449340820312,DISTRIBUTION,1.0,low,0.608,EXPANDING_RANGE_VOLATILE,99.47,0.0,0.823,1.0,31.03,14.59,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-09-02,731.212646484375,DISTRIBUTION,1.0,low,0.513,EXPANDING_RANGE_VOLATILE,99.93,0.0,0.54,1.0,35.85,15.11,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-09-07,727.1998291015625,EXPANSION,1.0,low,0.502,EXPANDING_RANGE_VOLATILE,99.99,0.0,0.505,1.0,33.96,15.7,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-09-13,726.0540771484375,EXPANSION,1.0,low,0.5,EXPANDING_RANGE_VOLATILE,100.0,0.0,0.501,1.0,32.71,16.33,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2021-09-16,722.7337036132812,EXPANSION,0.67,medium,0.083,EXPANDING_RANGE_VOLATILE,25.0,0.0,-0.75,1.0,31.18,17.01,FALLING,DISTRIBUTION,medium,0.111,"BEARISH_ENGULFING,DOJI,HAMMER",,0.0,0.0,
2021-09-21,761.968994140625,EXPANSION,0.67,medium,0.094,EXPANDING_RANGE_VOLATILE,28.13,0.0,-0.719,1.0,37.29,17.63,FALLING,DISTRIBUTION,medium,1.0,"DOJI,HAMMER",,0.0,0.0,
2021-09-24,759.9747314453125,EXPANSION,1.0,low,0.605,EXPANDING_RANGE_VOLATILE,81.64,0.0,0.816,1.0,35.87,18.47,RISING,EXPANSION,low,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-09-29,732.8655395507812,EXPANSION,0.67,medium,0.151,EXPANDING_RANGE_VOLATILE,32.78,0.0,-0.548,1.0,30.07,19.16,FALLING,DISTRIBUTION,medium,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2021-10-04,750.3840942382812,EXPANSION,0.67,high,0.347,HIGHER_HIGHS_HIGHER_LOWS,4.1,1.0,-0.959,1.0,32.21,19.92,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2021-10-07,755.5377197265625,EXPANSION,0.67,high,0.396,HIGHER_HIGHS_HIGHER_LOWS,0.51,1.0,-0.812,1.0,32.21,20.67,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
