date,close,cycle_phase,cycle_confidence,transition_risk,composite_score,zigzag_structure,stc_value,zigzag_score,stc_score,trend_score,trend_price_vs_sma200_pct,trend_sma50_vs_sma200_pct,stc_direction,raw_phase,raw_transition_risk,candlestick_score,candlestick_patterns,harmonic_pattern,harmonic_score,gann_score,gann_active_cycle_days
2020-11-23,449.0994567871094,CONTRACTION,0.67,high,0.5,HIGHER_HIGHS_HIGHER_LOWS,49.99,1.0,-0.5,1.0,21.03,6.03,FALLING,DISTRIBUTION,high,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2020-11-26,455.8611145019531,CONTRACTION,0.67,medium,-0.313,LOWER_HIGHS_LOWER_LOWS,6.25,-1.0,-0.938,1.0,23.16,7.93,FALLING,DISTRIBUTION,medium,-1.0,"BEARISH_ENGULFING,DOJI",,0.0,0.0,
2020-12-02,460.8005065917969,CONTRACTION,0.67,medium,-0.325,LOWER_HIGHS_LOWER_LOWS,0.78,-1.0,-0.976,1.0,24.79,10.01,FALLING,DISTRIBUTION,medium,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2020-12-07,489.5735778808594,CONTRACTION,0.67,low,0.063,LOWER_HIGHS_LOWER_LOWS,25.08,-1.0,0.19,1.0,32.81,12.55,RISING,EXPANSION,low,1.0,DOJI,,0.0,0.0,
2020-12-10,486.2167053222656,CONTRACTION,0.67,low,0.289,LOWER_HIGHS_LOWER_LOWS,86.8,-1.0,0.868,1.0,32.08,15.1,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2020-12-15,496.8626708984375,CONTRACTION,0.67,low,0.328,LOWER_HIGHS_LOWER_LOWS,98.35,-1.0,0.983,1.0,35.02,17.54,RISING,EXPANSION,low,-1.0,DOJI,,0.0,0.0,
2020-12-18,495.9995422363281,CONTRACTION,0.67,low,0.005,LOWER_HIGHS_LOWER_LOWS,79.41,-1.0,0.014,1.0,34.75,19.54,FALLING,EXPANSION,low,0.0,,,0.0,0.0,
2020-12-23,483.003662109375,CONTRACTION,0.67,high,0.033,EXPANDING_RANGE_VOLATILE,9.93,0.0,-0.901,1.0,31.27,21.13,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2020-12-29,507.17303466796875,CONTRACTION,0.67,high,0.341,HIGHER_HIGHS_HIGHER_LOWS,2.22,1.0,-0.978,1.0,37.56,22.81,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-01-01,505.92620849609375,CONTRACTION,0.67,medium,0.586,HIGHER_HIGHS_HIGHER_LOWS,11.95,1.0,-0.241,1.0,36.66,24.06,RISING,DISTRIBUTION,medium,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-01-06,524.3410034179688,CONTRACTION,1.0,low,0.939,HIGHER_HIGHS_HIGHER_LOWS,81.7,1.0,0.817,1.0,40.63,25.14,RISING,EXPANSION,low,-0.111,"BEARISH_ENGULFING,BULLISH_ENGULFING,DOJI",,0.0,0.0,
2021-01-11,522.4227905273438,CONTRACTION,1.0,low,0.992,HIGHER_HIGHS_HIGHER_LOWS,97.71,1.0,0.977,1.0,38.86,26.17,RISING,EXPANSION,low,-0.667,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2021-01-14,530.6710205078125,CONTRACTION,1.0,low,0.891,HIGHER_HIGHS_HIGHER_LOWS,99.71,1.0,0.674,1.0,39.86,27.15,RISING,EXPANSION,low,-0.4,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2021-01-19,524.1012573242188,CONTRACTION,0.67,high,0.407,HIGHER_HIGHS_HIGHER_LOWS,22.09,1.0,-0.779,1.0,36.96,27.6,FALLING,DISTRIBUTION,high,-1.0,DOJI,,0.0,0.0,
2021-01-22,511.96856689453125,CONTRACTION,0.67,high,0.009,MIXED,2.76,0.0,-0.972,1.0,32.61,27.49,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-01-28,506.6455993652344,CONTRACTION,0.67,medium,0.096,MIXED,0.35,0.0,-0.711,1.0,30.28,27.26,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2021-02-02,592.1014404296875,CONTRACTION,1.0,low,0.541,MIXED,62.37,0.0,0.624,1.0,50.99,27.64,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-02-05,589.0324096679688,CONTRACTION,1.0,low,0.651,MIXED,95.3,0.0,0.953,1.0,48.68,28.46,RISING,EXPANSION,low,0.143,"BULLISH_ENGULFING,DOJI",,0.0,0.0,
2021-02-10,606.2962646484375,CONTRACTION,1.0,low,0.62,MIXED,99.41,0.0,0.859,1.0,51.47,29.42,RISING,EXPANSION,low,1.0,BULLISH_ENGULFING,,0.0,0.0,
2021-02-15,646.3867797851562,CONTRACTION,1.0,low,0.515,MIXED,99.93,0.0,0.545,1.0,59.83,30.49,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-02-18,618.2850341796875,EXPANSION,1.0,low,0.502,EXPANDING_RANGE_VOLATILE,99.99,0.0,0.506,1.0,51.18,31.09,RISING,EXPANSION,low,0.0,,,0.0,0.0,
2021-02-23,591.094482421875,EXPANSION,0.67,high,0.042,EXPANDING_RANGE_VOLATILE,12.5,0.0,-0.875,1.0,43.07,31.24,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-02-26,573.3031616210938,EXPANSION,0.67,high,0.005,CONTRACTING_RANGE,1.56,0.0,-0.984,1.0,37.36,31.34,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-03-03,606.248291015625,EXPANSION,0.67,low,-0.206,LOWER_HIGHS_LOWER_LOWS,0.2,-1.0,-0.619,1.0,43.69,31.42,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2021-03-08,583.181884765625,EXPANSION,0.67,low,-0.172,LOWER_HIGHS_LOWER_LOWS,0.02,-1.0,-0.515,1.0,36.75,31.46,FALLING,DISTRIBUTION,low,1.0,DOJI,,0.0,0.0,
2021-03-12,587.7855834960938,DISTRIBUTION,0.67,medium,0.166,CONTRACTING_RANGE,0.0,0.0,-0.502,1.0,36.47,31.44,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2021-03-17,565.3905029296875,DISTRIBUTION,0.67,high,0.5,HIGHER_HIGHS_HIGHER_LOWS,0.0,1.0,-0.5,1.0,30.19,31.21,FALLING,DISTRIBUTION,high,0.0,,,0.0,0.0,
2021-03-22,549.9969482421875,DISTRIBUTION,0.67,high,0.5,HIGHER_HIGHS_HIGHER_LOWS,0.0,1.0,-0.5,1.0,25.71,30.74,FALLING,DISTRIBUTION,high,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-03-25,548.1746826171875,DISTRIBUTION,0.67,high,0.5,HIGHER_HIGHS_HIGHER_LOWS,0.0,1.0,-0.5,1.0,24.36,30.17,FALLING,DISTRIBUTION,high,-1.0,BEARISH_ENGULFING,,0.0,0.0,
2021-03-31,558.2931518554688,DISTRIBUTION,0.67,medium,0.167,EXPANDING_RANGE_VOLATILE,0.0,0.0,-0.5,1.0,25.66,29.56,FALLING,DISTRIBUTION,medium,0.0,,,0.0,0.0,
2021-04-06,542.7557983398438,DISTRIBUTION,0.67,low,-0.167,LOWER_HIGHS_LOWER_LOWS,0.0,-1.0,-0.5,1.0,21.28,29.06,FALLING,DISTRIBUTION,low,0.0,,,0.0,0.0,
