ticker,company_name,sector,as_of_date,close,cycle_phase,cycle_confidence,transition_risk,pending_phase,dwell_progress,composite_score,zigzag_score,stc_score,trend_score,candlestick_score,harmonic_pattern,gann_score,pe_ratio,pe_percentile_vs_universe,pb_ratio,dividend_yield_percent,earnings_quarterly_growth_percent
SANWARIA.NS,SANWARIA.NS,Unknown,2026-09-22,0.1899999976158142,ACCUMULATION,0.67,low,EXPANSION,2/5,0.298,0.0,0.625,0.268,0.0,,0.0,,,,,
SAPPHIRE.NS,SAPPHIRE.NS,Unknown,2026-09-22,237.24000549316406,DISTRIBUTION,0.44,low,ACCUMULATION,1/5,0.127,-1.0,0.404,0.977,1.0,,0.0,,,,,
SARDAEN.NS,SARDAEN.NS,Unknown,2026-09-22,503.3500061035156,DISTRIBUTION,0.44,low,CONTRACTION,3/5,-0.477,0.0,-0.742,-0.69,0.0,,0.0,,,,,
SAREGAMA.NS,SAREGAMA.NS,Unknown,2026-09-22,503.3500061035156,EXPANSION,0.67,low,,,0.423,0.0,0.5,0.769,0.2,,0.0,,,,,
SARLAPOLY.NS,SARLAPOLY.NS,Unknown,2026-09-22,99.26000213623047,EXPANSION,0.44,low,CONTRACTION,3/5,-0.54,-1.0,-0.982,0.363,1.0,,0.0,,,,,
SARVESHWAR.NS,SARVESHWAR.NS,Unknown,2026-09-22,3.6700000762939453,CONTRACTION,0.67,low,DISTRIBUTION,1/5,0.139,0.0,-0.222,0.638,-1.0,,0.0,,,,,
SASKEN.NS,SASKEN.NS,Unknown,2026-09-22,1755.5999755859375,DISTRIBUTION,0.44,low,CONTRACTION,2/5,-0.364,-1.0,-0.544,0.453,0.0,,0.0,,,,,
SATIA.NS,SATIA.NS,Unknown,2026-09-22,67.41000366210938,EXPANSION,0.67,low,,,0.413,0.0,0.507,0.732,1.0,,0.0,,,,,
SATIN.NS,SATIN.NS,Unknown,2026-09-22,223.1999969482422,EXPANSION,0.67,low,,,0.461,0.0,0.938,0.445,-0.667,,0.0,,,,,
SAURASHCEM.NS,SAURASHCEM.NS,Unknown,2026-09-22,53.150001525878906,CONTRACTION,0.44,low,,,-0.498,-1.0,-0.544,0.05,1.0,,0.0,,,,,
SBC.NS,SBC.NS,Unknown,2026-09-22,49.22999954223633,EXPANSION,0.44,low,,,0.408,1.0,0.5,-0.276,-1.0,,0.0,,,,,
SBCL.NS,SBCL.NS,Unknown,2026-09-22,1126.9000244140625,DISTRIBUTION,0.67,medium,,,0.092,0.0,-0.648,0.923,0.0,,0.0,,,,,
SBFC.NS,SBFC.NS,Unknown,2026-09-22,90.41000366210938,ACCUMULATION,0.67,medium,DISTRIBUTION,2/5,-0.323,0.0,-0.991,0.023,0.0,,0.0,,,,,
SBGLP.NS,SBGLP.NS,Unknown,2026-09-22,23.34000015258789,ACCUMULATION,0.67,low,EXPANSION,3/5,0.805,1.0,0.938,0.478,-1.0,,0.0,,,,,
SBICARD.NS,SBICARD.NS,Unknown,2026-09-22,634.9500122070312,ACCUMULATION,0.44,low,CONTRACTION,3/5,-0.327,0.0,-0.969,-0.013,1.0,,0.0,,,,,
SBILIFE.NS,SBILIFE.NS,Unknown,2026-09-22,1756.300048828125,EXPANSION,0.44,medium,ACCUMULATION,3/5,0.073,0.0,0.939,-0.721,0.0,,0.0,,,,,
SBIN.NS,SBIN.NS,Unknown,2026-09-22,987.0,DISTRIBUTION,0.44,low,CONTRACTION,3/5,-0.479,0.0,-0.5,-0.937,-1.0,,0.6,,,,,
SCHAEFFLER.NS,SCHAEFFLER.NS,Unknown,2026-09-22,4054.199951171875,CONTRACTION,0.44,medium,ACCUMULATION,2/5,0.19,0.0,0.938,-0.369,0.0,,0.0,,,,,
SCHAND.NS,SCHAND.NS,Unknown,2026-09-22,133.75,ACCUMULATION,0.67,medium,,,-0.222,-1.0,0.501,-0.168,-0.111,,0.0,,,,,
SCHNEIDER.NS,SCHNEIDER.NS,Unknown,2026-09-22,1214.199951171875,DISTRIBUTION,0.67,low,EXPANSION,3/5,0.239,0.0,0.635,0.083,0.0,,0.0,,,,,
SCI.NS,SCI.NS,Unknown,2026-09-22,281.1000061035156,EXPANSION,0.67,low,CONTRACTION,3/5,-0.727,-1.0,-0.577,-0.605,0.0,,0.0,,,,,
SCILAL.NS,SCILAL.NS,Unknown,2026-09-22,38.27000045776367,ACCUMULATION,0.67,low,CONTRACTION,3/5,-0.621,-1.0,-0.074,-0.789,1.0,,0.0,,,,,
SCODATUBES.NS,SCODATUBES.NS,Unknown,2026-09-22,128.85000610351562,ACCUMULATION,0.44,low,CONTRACTION,3/5,-0.452,0.0,-0.798,-0.558,1.0,,0.0,,,,,
SCPL.NS,SCPL.NS,Unknown,2026-09-22,659.5,ACCUMULATION,0.67,high,DISTRIBUTION,3/5,0.411,1.0,-0.5,0.732,0.0,,0.0,,,,,
SDBL.NS,SDBL.NS,Unknown,2026-09-22,67.44999694824219,DISTRIBUTION,0.44,low,CONTRACTION,3/5,-0.454,-1.0,-0.55,0.189,0.167,,0.0,,,,,
SEAMECLTD.NS,SEAMECLTD.NS,Unknown,2026-09-22,1734.699951171875,EXPANSION,0.44,low,CONTRACTION,1/5,-0.611,-1.0,-0.984,0.151,0.0,,0.0,,,,,
SECMARK.NS,SECMARK.NS,Unknown,2026-09-22,136.11000061035156,EXPANSION,0.44,low,CONTRACTION,2/5,-0.427,-1.0,-0.958,0.678,1.0,,0.0,,,,,
SECURKLOUD.NS,SECURKLOUD.NS,Unknown,2026-09-22,16.850000381469727,CONTRACTION,0.44,high,ACCUMULATION,3/5,0.02,0.0,0.969,-0.91,0.0,,0.0,,,,,
SEJALLTD.NS,SEJALLTD.NS,Unknown,2026-09-22,666.2999877929688,EXPANSION,0.44,medium,ACCUMULATION,3/5,0.121,0.0,0.94,-0.578,1.0,,0.0,,,,,
SEMAC.NS,SEMAC.NS,Unknown,2026-09-22,279.0,CONTRACTION,0.44,medium,ACCUMULATION,1/5,-0.08,-1.0,0.75,0.01,1.0,,0.0,,,,,
SENCO.NS,SENCO.NS,Unknown,2026-09-22,337.3500061035156,DISTRIBUTION,0.44,low,CONTRACTION,1/5,-0.383,-1.0,-0.788,0.638,-0.333,,0.0,,,,,
SENORES.NS,SENORES.NS,Unknown,2026-09-22,1379.9000244140625,CONTRACTION,0.44,low,DISTRIBUTION,3/5,-0.167,-1.0,-0.5,1.0,0.0,,0.0,,,,,
SEPC.NS,SEPC.NS,Unknown,2026-09-22,5.159999847412109,CONTRACTION,0.67,high,ACCUMULATION,3/5,-0.131,-1.0,0.92,-0.312,1.0,,0.0,,,,,
